Battleground 2 - Gettysburg (1996);bg2Get
Battleground 3 - Waterloo (1996);bg3wat
Battleground 4 - Shiloh (1996);bg4Shi
Battleground 5 - Antietam (1996);bg5Ant
Battleground 6 - Napoleon in Russia (1997);bg6NiR
Battleground 7 - Bull Run (1997);bg7Bull
Battleground 8 - Prelude to Waterloo (1997);bg8PW
Battleground - Ardennes (1995);bgArd
Better Home And Gardens Cool Crafts (1994);BHGCC
Better Home And Gardens Complete Guide To Gardening (1999);BHGCCG
Beat the House (1995);BHous3x
Blue Ice (1995);BIce3x
Bicycle Poker (1996);BicPK
Bicycle Pinochle (1997);BicycleP
Bicycle Solitaire (1996);BicycleS
Big Job (1996);BigJob
Bicycle Casino - Blackjack, Poker, Baccarat, Roulette (1995);bikecasi
Backgammon (1990);bkgam3x
Book of Shadowboxes, The (1995);bkshadbx
Blades of Exile (1999);BlaExil
Blinky Bill And The Magician (1999);BlinkyBi
Blitzer (1991);Blitzer
Blob Factory (1996);BlobFact
Block Breaker (1992);BlockBre
Blown Away (1994);BlownAwa
Blue Heat - The Case of the Cover Girl Murders (1997);BlueHeat
Welcome to Bodyland (1994);bodyland
BogOut (1992);BogOut
Backpacker - The Lost Florence Gold Mine (1997);bpackLGM
Brain Games For Windows (1992);BrainGam
Brainiacs (1995);Brainiac
Breakout 3000 (1999);Breakout
BreakThru! (1994);BreakThr
Brer Rabbit and the Wonderful Tar Baby (1991);BrerRabb
Brick Breaker II Turbo (1994);BrickBre
Brickbuster (1995);Brickbus
Battleship (1998);Bship3x
Bug! (1996);Bug!
Bug Explorers (1996);BugExplr
Buichi Terasawa's Takeru - Letter of the Law (1996);BuichiTe
Burn -Cycle (1995);Burn-Cyc
Adventures of Busy Billy, The (1996);BusyBily
Let's Explore the Airport (1995);BuzzAir
Let's Explore the Farm (1995);BuzzFarm
Bobby's World - One Clump or Two (1996);BW1co2
BrainWave (1997);BWave1
BrainWave 2 (1997);BWave2
Candy Land Adventure (1996);CandyLAD
Capitol Hill (1993);CapitolH
Capitalist Pig (1992);CapPig
Caribbean Treasure (1996);CariTrea
Cartopedia - The Ultimate World Reference Atlas (1996);Cartoped
Casino Deluxe 2 (1996);CasDLX2
Case for Cap and Co., A (1997);Case4Cap
Casino Master (1996);CasiMast
Casino De Luxe (1995);CasinoDe
Casper Brainy Book (1995);CaspBB
Castle Explorer (1996);CastleEx
Castle of the Winds (1993);CasWind
CatFight - The Ultimate Female Fighting Game (1996);CatFight
Catz - Your Computer Petz (1996);Catz-You
Chaos - A Fantasy Adventure Game (1996);Chaos-AF
Chip's Challenge (1991);ChCh3x
Checkers (1990);Checkers
Chess Mates (1996);ChessMat
Chess Net (1992);ChessNet
Chinese Cooking for the Family (1995);ChiCook
Chinese Solitaire (1993);ChinSoli
Chomp (1991);Chomp
Chop Suey (1995);ChopSuey
Cinema Volta (1994);CinVolta
Circus! (1994);circus!
Sid Meier's Civilization II (1996);Civ2
Sid Meier's Civilization II - The Collector's Edition (1996);Civ2Gold
Sid Meier's Civilization (1993);Civ3x
Sid Meier's CivNet (1995);Civnet
Chuck Jones - Peter and the Wolf (1994);CJPandW
Captain Kangaroo - Life's First Lessons Adventure #1 (1998);CKLFL1
ClockWerx (1995);clckwerx
Clue (1996);Clue
Clueless - CD-ROM (1997);Clueless
Chessmaster 3000, The (1991);CM3000
Country Vid Grid (1995);cntryvid
Cogito (1992);Cogito
Combat Tanks (1994);CombatTa
Comet Busters! (1994);CometBus
Comic Book Confidential (1994);comiconf
Comix Zone (1995);ComixZon
Complete MAUS, The (1995);compMAUS
Congo - The Movie - Descent into Zinj (1995);Congo-Th
Connections (1995);Connecti
Corporate Pursuit (1996);CorpPur
Cosmology of Kyoto (1995);Cosmolog
Countdown (1992);Countdow
Cow V - The Great Egg Quest (1992);CowV-The
Crayola Magic Princess Paper Doll Maker (1999);CrayMP
Creatures (1997);Creaturs
Cribbage (1991);Crib3x
Cribbage Master (1992);Cribbage
Critical Path (1993);Critical
Crosswords and More for Windows (1996);CrossM
Crosswords and Word Games (1995);CrossW
Crow, The - The Complete Interactive Collection (1996);Crow3x
Crusader - Adventure Out of Time (1997);Crusader
Stardate 2140.2 - Crusade in Space (1994);CrusSpac
Crystal Caliburn (1994);CrysCali
Carmen Sandiego - Junior Detective Edition (1995);CSJDE
Where in Time is Carmen Sandiego (1997);CSTime
Cyberstrip Blackjack (1995);CStripBJ
Cyberstrip Poker (1995);CStripPk
Where in the USA is Carmen Sandiego (1996);CSUSA
Carmen Sandiego Word Detective (1997);CSWordD
Curious George Learns Phonics (1997);CuriousG
CyberSpace Crossword (1992);CyberSpa
Dare to Dream Part One - In a Darkened Room (1993);D2D1
Dare to Dream 2 (1993);D2D2
Dare to Dream 3 (1993);D2D3
Dagger of Amon Ra, The (1993);Dagger3x
Dagger's Rage (1995);DaggersR
Disney's Aladdin Activity Center (1995);DAlAct
Daleks (1991);daleks3x
Dandy Dinosaurs (1993);DandDino
Day at the Races, A (1994);DayRaces
Dazzeloids (1994);dazzoids
Dally Doo You Can Too! Animals (1998);DDYCTA
Deadlock - Planetary Conquest (1996);Deadlock
Deflektor PC (1998);Deflekto
Deja Vu I and II - The Casebooks of Ace Harding (1992);DejaVuII
Deluxe Scrabble for Windows (1992);DeluxeSc
Devo Presents - Adventures of the Smart Patrol (1996);DevoPres
D-Generation (1994);dgen3x
Disney's Animated Storybook - The Hunchback of Notre Dame (1996);DHBASB
Diamonds 3D (1996);Diamonds
Phantastische Reise nach Terra-Gon, Die (1997);Diephant
Dilbert - Not Just A Calendar (1997);Dilbert-
Dilbert Screen Saver Collection (1994);DilbertS
Dinonauts (1995);dinonaut
Dinosaur Safari (1996);DinoSaf
Dinosaur Museum (1997);Dinosaur
Dino Slot (1994);DinoSlot
Disney's Animated Storybook - Toy Story (1996);DisASToy
Disney's Animated Storybook - Winnie the Pooh and the Honey Tree (1995);DisASWP
Discover History (1997);DiscHist
Disney's The Jungle Book (1994);DisJB3x
Disney's Animated Storybook - Hercules (1997);DisnHerc
Disney Presents Ariel's Story Studio (1997);DisPASS
Disney's Toy Story Activity Center (1996);DisTSAC
Diva X - Ariana (1995);DivaX-Ar
Diversions Slots (1996);Diversio
Way Things Work, The (1994);DKTWTW
Disney's Animated Storybook - The Lion King (1995);DLKAS
Dodger (1994);dodger94
Dogz - Your Computer Pet (1995);Dogz-You
Dole 5 A Day Adventures (1995);Dole5
Don Quixote - A Multimedia Storybook (1992);DonQuixo
Dopefish Forever! (1997);DopeFshF
Dopefish Lives! (1997);DopeFshL
Double Feature Solitaire (1994);DoubleFe
Disney's Animated Storybook - Pocahontas (1995);DPASB
Dracula in London (1993);Draculai
Dracula's Secret (1996);Draculas
Dragon in a Wagon (1997);DragWag
Drain Storm (1997);dranstrm
Dr. Ditto (1995);DrDitto
Dr. Drago's Madcap Chase (1995);DrDragos
MicroProse Entertainment Pack Vol #1 - Dr Floyd's Desktop Toys (1993);DrFloyd
Dr. Seuss Preschool (1999);DrSeusPr
Dr. T's Sing-A-Long Kid's Classics (1993);DrTSing
Beyond Planet Earth (1994);DSBeyPE
Dark Seed II (1995);DSeed2
Disney's Hunchback of Notre Dame - 5 Topsy Turvy Games (1996);DTHBND5
Dream Team - Kid's Typing (1993);DTKidTyp
Day The World Broke, The (1998);DTWB
Duck City (1996);DuckCity
Dust - A Tale of the Wired West (1995);Dust-ATa
Eyewitness Virtual Reality Earth Quest (1997);EarthQue
EarthSiege 2 (1996);EarthSie
Eastern Mind - The Lost Souls of Tong Nou (1995);EasternM
Ecco the Dolphin (1995);eccodol
EcoQuest 2 - Lost Secret of the Rainforest (1993);eco23x
Econ's Arena (1994);EconsAre
Eek!Stravaganza - The EeX Files (1996);Eek
Elroy's Costume Closet (1996);ElroyCC
