$100,000 Pyramid (1988);$100000P
Aethra Chronicles, The - Volume One - Celystra's Bane (1994);aeth1cly
Fable, A (1985);AFAB1985
Are You Afraid of the Dark - The Tale of Orpheo's Curse (1994);afraid
African Adventure Or In Search of Dr. Livingston (1997);AfricanA
African Raiders-01 (1989);AfricanR
African Trail Simulator (1990);AfricanT
African Desert Campaign (1986);afridscp
After Burner II (1989);AfterBu2
Afterlife (1996);Afterlif
After the War (1989);Afterthe
Aftershock for Quake (1996);AftSkQ
A.G.E. (1991);age2
Age of Dragon (1997);AgeDrag
Agent USA (1984);agentusa
Aggression (1990);aggress
Aggravation (1991);aggrva
Agravation (1989);aggrva89
AGI Tetris (2004);agitet
AH-3 - ThunderStrike (1996);AH3ThS
Aces High - The True Air Duel Simulator (1996);AHtTADS
Alien Incident (1996);AI
Aimpoint (1996);aimpoint
Air Attack! (1988);AirAtak
Airball (1987);airball
Airborne Ranger (1988);Airborne
Air Bucks (1992);AirBucks
Air Duel 80 Years of Dogfighting (1993);AirDuel8
Air Force Commander (1992);airfrcco
Airlift Rescue (1995);AirliftR
Airline (1991);Airline
Airlines (1994);Airlines
Airline Simulator (1996);AirLSim
Air Power Battle in the Skies (1995);AirPower
Air Puck (1992);AirPuck
Airstrike (1995);AirStr95
Air-Strike (1998);AirStr98
Airstrike USA (1990);Airstrik
Air Traffic Controller (1985);AirTraff
Air Trax (1983);AirTrax
Air Warrior (1992);AirWarri
Aisle (1999);aisle
Action in the North Atlantic (1989);aitna
Jack in the Dark (1993);AJACK
Ajax (1989);Ajax
AJ's Quest (1992);AJQuest
A.J.'s World of Discovery (1992);AJsWorld
Aktie-bal (1994);Aktiabal
Aladino (1994);Aladino
Albion (1995);albion
Alcatraz (1992);Alcatraz
Alchemy Game, The (1997);AlchHame
Alchemyst (1992);Alchmyst
Aldo Again (1989);AldoAga
Aldo's Assault (1991);AldoAss
Aldo's Adventure (1987);AldosAdv
Aleshar - The World of Ice (1997);aleshar
Alex the Allegator (1999);AlexA1
Alex the Alligator 2 (2002);alexalli
Alex Higgins' World Snooker (1986);AlexHigg
ALF's Thinking Skills (1993);ALFsThin
ALF - The First Adventure (1987);ALFTheFi
ALF's U.S. Geography (1993);ALFUS
Alge-Blaster Plus! (1989);AlgBlas+
Aliants - The Desperate Battle for Earth (1988);aliants
Alice in Wonderland (1989);aliceif
Alien Assault (1995);AlieAs95
Alien Assault (1997);AlieAs97
Aliens (1996);aliEF
Alien Logic (1994);alielogi
Aliens (1989);alien89
Alien Alley (1994);AlienAly
Alien Attack (1993);AlienAtt
Alien Breed (1993);AlienBre
Alien Breed - Tower Assault (1994);AlienBrT
Alien Cabal (1997);AlienCab
Alien Carnage (1993);AlienCar
Alien Fires 2199 AD (1987);alienfi
Alien (1982);alienif
Alien Legacy (1994);alienleg
Alien Odyssey (1995);AlienOdy
Alien Olympics (1994);AlienOly
Alien Phobia (1997);AlienPho
Alien Rampage (1996);AlienRam
Alien River (2017);AlienRiv
Aliens - A Comic Book Adventure (1995);ALIENS
Alien Syndrome (1989);AlienSyn
Alien Trilogy (1996);AlienTri
Alien Virus (1995);alienv
Alien Worlds (1989);AlienWor
Alien Terminator (1997);AlieTerm
Alive Sharks (1990);AliveSha
All-American College Football (1991);All-Amer
Allan Border's Cricket (1993);AllanBor
All Dogs Go to Heaven (1989);AllDogsG
AllegroHack (2000);AllegHak
Alley Cat (1984);AlleyCat
Atlantis - The Lost Tales (1997);alostt
Alphaman (1992);alphama2
Alpha Build (1986);AlphBuil
AlphaMan (1995);alphman
Alpha Storm (1997);alphstor
Alpine Encounter, The (1985);alpine
Al Pond 1 - Al Lives Forever (2002);alpond1
Al Pond 2 - Island Quest (2007);alpond2
Al Pond on Holiday (2003);alpondho
Alpine Tram Ride (1989);alptram
Al-Qadim - The Genie's Curse (1994);alqadim
Altered Beast (1990);AlteredB
Alternate Reality - The City (1988);Altreal
Amado (1989);amado
Amazon - Guardians of Eden (1992);amaeden
Amarillo Slim Dealer's Choice (1991);Amarillo
Matter of Time, A (1995);AMattero
Amaze (1989);Amaze
Amazing (1993);Amazng93
Amazon Snake (1995);AmazonSn
Amazon (1984);amazont
Amazing Learning Games with Rayman (1996);amazray
Amazon Trail (1993);amaztrai
Amberstar (1992);ambrstar
Ambush at Sorinor (1993);ambsori
America Adventure (1993);AmerAdv
American Gladiators (1992);AmerGlad
American Sign Language Tutor (1991);American
A-MIS Adventure (1993);AMISAdv
Amnesia (1986);amnesia
Amoba (2011);Amoba11
Amo del Mundo, El (1990);AmoDeMun
Amok (1996);Amok
Laura Bow 2 - The Dagger of Amon Ra (1992);amonra
Amarillo Slim's Real Poker - 5 Card Stud (1989);AmSlim5C
Amarillo Slim's 7 Card Stud (1992);AmSlim7
AM's Mini Golf 3D (1996);AMsMiniG
Amulets and Armor (1997);amularm
Amulet, The (1983);Amulet83
Amazing Adventures of ANSI Dude, The (1995);AmzANSI
Amazing Maze (1983);AmzMaze
Amazing Spider-Man and Captain America in Dr. Doom's Revenge!, The (1989);AmzSaC
Amazing Spider-Man, The (1990);AmzSman
Anacreon - Reconstruction 4021 (1987);anacreon
ANAL - The Rectum Adventure (2003);ANALTheR
Anchorhead (1998);anchorhe
Ancients 1 - Deathwatch (1991);Anci1
Ancients 2 - Approaching Evil (1994);Anci2
Ancient Art of War (1984);anciaw
Ancient Art of War at Sea (1987);anciaws
Ancient Art of War in the Skies (1992);anciawsk
Ancient Sceptre, The (1994);AnciSpec
Andromeda Conquest (1982);andrques
All New Family Feud (1989);anfamfeu
Angband (1992);angband
Angel Nieto Pole 500 (1990);AngelNie
Angst - A Game of Urban Survival! (1992);AngstGUS
Angst - Rahz's Revenge (1996);AngstRah
Nightmare on Elm Street, A (1989);ANightma
Night With Troi, A (1988);ANightWi
ANIMAC (1991);ANIMAC
Animal (1997);animal
Animal Math (1986);AnimalMa
Animated Multiplication and Division (1993);AnimMaD
Animated Money (1994);AnimMony
Animal Quest (1996);animques
Night with Beverely, A (2000);ANiteBev
Anna's Gram (1987);annagram
Annals of Rome (1988);annarome
Annihilator Tank (1995);Annihila
Another Pool (1995);AnoPool
Antarctic Adventure (1984);AntAdv
